0:0:0:0:0:0:0:1 - - [07/Mar/2022:11:59:54 +0900] "GET /resources/img/icon/man.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:11:59:54 +0900] "GET /resources/img/icon/bell.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:11:59:54 +0900] "GET /resources/img/icon/icon_search.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:11:59:54 +0900] "GET /resources/img/icon/cap.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:11:59:54 +0900] "GET /resources/img/icon/wheel.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:11:59:54 +0900] "GET /resources/img/patient/pataint.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:11:59:54 +0900] "GET /resources/img/icon/pharma.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:11:59:54 +0900] "GET /resources/img/patient/3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:11:59:54 +0900] "GET /resources/img/patient/2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:11:59:54 +0900] "GET /resources/img/diamond.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:11:59:54 +0900] "GET /resources/vendors/font_awesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:11:59:54 +0900] "GET /resources/vendors/themefy_icon/fonts/themify9f24.woff?-fvbane HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:11:59:54 +0900] "GET /resources/img/patient/5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:11:59:54 +0900] "GET /resources/img/patient/4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:11:59:54 +0900] "GET /resources/img/patient/6.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:14:39:50 +0900] "GET /main/home HTTP/1.1" 200 18460
0:0:0:0:0:0:0:1 - - [07/Mar/2022:14:39:50 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:14:39:50 +0900] "GET /resources/vendors/themefy_icon/themify-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:14:39:50 +0900] "GET /resources/vendors/swiper_slider/css/swiper.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:14:39:50 +0900] "GET /resources/vendors/select2/css/select2.min.css HTTP/1.1" 304 -
